Frequency_Hz	Z_re_mOhm*cm2	Z_neg_imag_mOhm*cm2
1e-06	6165.835291763502	0.0009821599458241612
1.0150869666476736e-06	6165.833402112515	0.0010908419269979749
1.0304015498579753e-06	6165.832452029845	0.0011552210514481002
1.0459471836743936e-06	6165.838801984395	0.0008477131589394681
1.0617273539497174e-06	6165.836418891518	0.000984249639035891
1.0777455991276773e-06	6165.818327564337	0.0019529404408021658
1.0940055110363934e-06	6165.814312788366	0.0021972862283131485
1.1105107356937707e-06	6165.806932058921	0.0026314974667470794
1.127264974125066e-06	6165.810373752254	0.002481320064857011
1.1442719831927816e-06	6165.80916354235	0.0025867142905801094
1.1615355764390783e-06	6165.817421070094	0.002156573268677232
1.179059624940901e-06	6165.823087653942	0.0018623873028668857
1.1968480581780029e-06	6165.821262143235	0.001997278317657952
1.2149048649140674e-06	6165.822836015533	0.0019340793030222377
1.2332340940911222e-06	6165.823334852719	0.0019332068246900522
1.2518398557374464e-06	6165.823165384297	0.0019728461278395366
1.2707263218891858e-06	6165.8227313648695	0.0020296574362313833
1.289897727525849e-06	6165.830338651073	0.0015802299616244219
1.3093583715199414e-06	6165.826797819527	0.0018309933784774128
1.3291126176009149e-06	6165.816401602874	0.0025347461106707135
1.3491648953336621e-06	6165.807398870167	0.0031674725317705787
1.369519701111773e-06	6165.809455579376	0.003077661132641184
1.3901815991657782e-06	6165.802551068575	0.003593966377800132
1.411155222586602e-06	6165.7866940228705	0.00474357023853233
1.4324452743644534e-06	6165.791045179233	0.004510288877780959
1.4540565284434076e-06	6165.796889095708	0.004162727327866329
1.4759938307918653e-06	6165.795537150935	0.004323400678879268
1.4982621004891942e-06	6165.799357904575	0.004108576395078589
1.520866330828748e-06	6165.79499023979	0.004495903075127892
1.5438115904375311e-06	6165.777187283113	0.005909629544624765
1.567103024412754e-06	6165.781902197709	0.005637328571294902
1.5907458554755377e-06	6165.807812906315	0.00370451132647995
1.614745385142022e-06	6165.8116362661585	0.003458373546575053
1.6391069949121447e-06	6165.812647496949	0.0034295742928222026
1.663836147476349e-06	6165.816300444212	0.0031838712895366226
1.6889383879405186e-06	6165.806527743269	0.004040572804428692
1.7144193450693528e-06	6165.819611197449	0.003003205695659986
1.7402847325485404e-06	6165.822058585554	0.002839959084808578
1.7665403502659558e-06	6165.819696106783	0.0030874141743059942
1.793192085612188e-06	6165.828283358143	0.002379947311449445
1.8202459148006912e-06	6165.832121802133	0.0020737416134507035
1.8477079042078534e-06	6165.825616155297	0.0026941690096442855
1.8755842117332801e-06	6165.81573964968	0.0036428480151793666
1.9038810881805994e-06	6165.81503802803	0.003763392928686316
1.9326048786591166e-06	6165.82010571984	0.003340568378915042
1.961762024006578e-06	6165.821621903446	0.003245504888180879
1.991359062233438e-06	6165.808763856023	0.00454982521134897
2.0214026299888965e-06	6165.815318555002	0.003969456328572065
2.0518994640490584e-06	6165.815010904876	0.004060610135603398
2.082856402827546e-06	6165.815952811479	0.004026050982734256
2.1142803879088985e-06	6165.807374502089	0.004976579992542152
2.1461784656051106e-06	6165.809072444335	0.0048735090948755595
2.1785577885356454e-06	6165.817859023131	0.004008784943018625
2.211425617231312e-06	6165.819384979909	0.0039041409771239906
2.244789321762292e-06	6165.793097709737	0.006858463882167073
2.2786563833907737e-06	6165.801134215835	0.006064231803117813
2.3130343962484987e-06	6165.803179338892	0.005924333736408063
2.3479310690396216e-06	6165.79193012988	0.007310709671801368
2.383354226769259e-06	6165.790559130238	0.007582351347623946
2.419311812498119e-06	6165.7945270165155	0.007226603293538735
2.455811889123601e-06	6165.782816135905	0.008748557257997258
2.4928626411877688e-06	6165.785623159863	0.008538181421379331
2.5304723767125948e-06	6165.809825922593	0.005660532162014759
2.568649529062917e-06	6165.804309977507	0.006442694550680557
2.6074026588374516e-06	6165.7996498047905	0.007137868686063641
2.6467404557883877e-06	6165.809973280224	0.005904271229511309
2.6866717407699157e-06	6165.801326668203	0.007135929102422924
2.7272054677161587e-06	6165.815038873231	0.00540677349371473
2.7683507256489453e-06	6165.815315420387	0.005451682570516764
2.810116740715874e-06	6165.8113280012385	0.0060858379693628445
2.8525128782591236e-06	6165.814141519387	0.005784218665387882
2.895548644915478e-06	6165.812923054754	0.0060461059243711885
2.9392336907480285e-06	6165.81416338452	0.005959147610105891
2.9835778114100624e-06	6165.812712197891	0.006263352248789033
3.028590950341545e-06	6165.818114741846	0.005553909407750258
3.074283200998794e-06	6165.813432273433	0.006347578799619985
3.120664809117766e-06	6165.813137692517	0.006490032865064707
3.1677461750114943e-06	6165.8057327036295	0.007744741835826459
3.2155378559021885e-06	6165.801122305421	0.008593735681996662
3.264050568288517e-06	6165.805463676755	0.008027305923254948
3.3132951903486055e-06	6165.806026962201	0.008058479772933483
3.3632827643792855e-06	6165.8086722437765	0.007743562825833349
3.414024499272171e-06	6165.811692154459	0.007354107504941044
3.465531773027031e-06	6165.806214389233	0.008403498746206692
3.5178161353031427e-06	6165.811766465505	0.0075690519738483095
3.5708893100091094e-06	6165.8174583365935	0.006682342442908432
3.624763197931751e-06	6165.7974574992495	0.010364411867563365
3.679449879404662e-06	6165.79339265964	0.011262716876953995
3.7349616170170264e-06	6165.79407563488	0.011310261550464629
3.7913108583633037e-06	6165.795987815279	0.011126457404789906
3.848510238834386e-06	6165.797721308235	0.0109683902607527
3.90657258445091e-06	6165.786094611773	0.013383890594159606
3.965510914739237e-06	6165.787090228082	0.013395437418088192
4.025338445650894e-06	6165.791161916354	0.012791531051632629
4.086068592526027e-06	6165.807148607683	0.009755606400703581
4.147714973101574e-06	6165.8093289802555	0.00945888510890847
4.2102914105648136e-06	6165.80421744837	0.010671785063301607
4.273811936652991e-06	6165.799569736188	0.011821988139355366
4.338290794799704e-06	6165.808154845205	0.010158647297849741
4.403742443328748e-06	6165.8104414285035	0.009816982157221453
4.470181558696202e-06	6165.807925245076	0.010528002332874058
4.537623038781288e-06	6165.807332427254	0.010825495823399728
4.606082006227097e-06	6165.809945202231	0.010396323622833567
4.675573811831495e-06	6165.808271967239	0.010947421076540032
4.746114037989332e-06	6165.81177027265	0.010292674273446184
4.817718502186533e-06	6165.8082829228815	0.01128965457295685
4.8904032605469006e-06	6165.8134855558665	0.010199616624501149
4.964184611432446e-06	6165.810969977945	0.010981539299513452
5.039079099098022e-06	6165.807031137876	0.012143207160552656
5.115103517401103e-06	6165.804326619836	0.013023934864732477
5.192274913567521e-06	6165.803417364161	0.013464382027868333
5.270610592014066e-06	6165.803883905719	0.013553606121120318
5.350128118228658e-06	6165.805708265421	0.013279568907381427
5.430845322709153e-06	6165.806074577551	0.01338971564061344
5.512780304961541e-06	6165.808898909084	0.012822190141784297
5.595951437558447e-06	6165.80756719024	0.013398475501815074
5.680377370258893e-06	6165.810267998818	0.012842009500612164
5.766077034190189e-06	6165.799748846977	0.01608832362419438
5.853069646092932e-06	6165.7981860162745	0.016803433308694785
5.941374712630035e-06	6165.792212125916	0.018854383692646626
6.031012034760816e-06	6165.796074915362	0.01798381577365114
6.1220017121809706e-06	6165.7960492397015	0.018279240864371524
6.214364147829645e-06	6165.789913070403	0.020492893387876108
6.3081200524644495e-06	6165.79027646205	0.020706129051924028
6.403290449305502e-06	6165.7915939444365	0.020613202368525804
6.4998966787495405e-06	6165.794010952772	0.020151468048188584
6.597960403155159e-06	6165.806531597951	0.016298672633491298
6.697503611700232e-06	6165.806151434264	0.016691140513429105
