Frequency_Hz	Z_re_mOhm*cm2	Z_neg_imag_mOhm*cm2
1e-06	6133.004339481281	0.005596434113514042
1.0150869666476736e-06	6133.004339481125	0.005680867328533382
1.0304015498579753e-06	6133.004339480963	0.005766574384178893
1.0459471836743936e-06	6133.004339480796	0.005853574499318611
1.0617273539497174e-06	6133.004339480624	0.005941887182816912
1.0777455991276773e-06	6133.004339480447	0.006031532236897664
1.0940055110363934e-06	6133.004339480264	0.00612252976125025
1.1105107356937707e-06	6133.004339480076	0.006214900165354434
1.127264974125066e-06	6133.004339479881	0.00630866415663066
1.1442719831927816e-06	6133.004339479683	0.006403842761391979
1.1615355764390783e-06	6133.004339479475	0.006500457324653258
1.179059624940901e-06	6133.004339479265	0.006598529507022408
1.1968480581780029e-06	6133.0043394790455	0.006698081301780393
1.2149048649140674e-06	6133.004339478821	0.006799135030584508
1.2332340940911222e-06	6133.004339478588	0.006901713354441193
1.2518398557374464e-06	6133.004339478349	0.007005839273786376
1.2707263218891858e-06	6133.004339478102	0.007111536136747746
1.289897727525849e-06	6133.004339477849	0.007218827646456689
1.3093583715199414e-06	6133.004339477587	0.007327737856985657
1.3291126176009149e-06	6133.004339477317	0.007438291194380449
1.3491648953336621e-06	6133.00433947704	0.007550512445620345
1.369519701111773e-06	6133.004339476753	0.0076644267755241685
1.3901815991657782e-06	6133.004339476458	0.007780059726020786
1.411155222586602e-06	6133.004339476154	0.007897437228266456
1.4324452743644534e-06	6133.004339475841	0.008016585599612925
1.4540565284434076e-06	6133.0043394755185	0.008137531559359054
1.4759938307918653e-06	6133.0043394751865	0.008260302226020085
1.4982621004891942e-06	6133.004339474844	0.008384925130857201
1.520866330828748e-06	6133.00433947449	0.008511428216876924
1.5438115904375311e-06	6133.004339474125	0.008639839850346132
1.567103024412754e-06	6133.004339473753	0.00877018882618311
1.5907458554755377e-06	6133.004339473367	0.008902504372890136
1.614745385142022e-06	6133.004339472967	0.009036816159055586
1.6391069949121447e-06	6133.004339472559	0.009173154303393154
1.663836147476349e-06	6133.004339472134	0.00931154937604019
1.6889383879405186e-06	6133.0043394717	0.009452032411565305
1.7144193450693528e-06	6133.004339471251	0.009594634909409993
1.7402847325485404e-06	6133.00433947079	0.009739388845624536
1.7665403502659558e-06	6133.004339470313	0.009886326680561386
1.793192085612188e-06	6133.004339469822	0.010035481361251097
1.8202459148006912e-06	6133.004339469315	0.010186886334219094
1.8477079042078534e-06	6133.0043394687955	0.010340575548306677
1.8755842117332801e-06	6133.004339468259	0.010496583465884836
1.9038810881805994e-06	6133.004339467703	0.010654945071638566
1.9326048786591166e-06	6133.004339467133	0.010815695871917686
1.961762024006578e-06	6133.004339466546	0.010978871914972543
1.991359062233438e-06	6133.004339465941	0.01114450979005049
2.0214026299888965e-06	6133.004339465318	0.011312646637401638
2.0518994640490584e-06	6133.004339464676	0.011483320160222202
2.082856402827546e-06	6133.004339464013	0.011656568628285336
2.1142803879088985e-06	6133.004339463329	0.011832430890406523
2.1461784656051106e-06	6133.004339462626	0.012010946380152527
2.1785577885356454e-06	6133.004339461903	0.012192155127942007
2.211425617231312e-06	6133.0043394611575	0.012376097766215713
2.244789321762292e-06	6133.004339460388	0.012562815540790856
2.2786563833907737e-06	6133.004339459596	0.012752350319568471
2.3130343962484987e-06	6133.004339458779	0.012944744603951338
2.3479310690396216e-06	6133.004339457938	0.013140041533348258
2.383354226769259e-06	6133.004339457071	0.01333828490219054
2.419311812498119e-06	6133.004339456177	0.01353951916192979
2.455811889123601e-06	6133.004339455256	0.013743789435581414
2.4928626411877688e-06	6133.004339454309	0.013951141528175472
2.5304723767125948e-06	6133.004339453331	0.014161621935192893
2.568649529062917e-06	6133.004339452324	0.014375277852731962
2.6074026588374516e-06	6133.004339451287	0.014592157190147637
2.6467404557883877e-06	6133.004339450217	0.014812308579900046
2.6866717407699157e-06	6133.004339449116	0.015035781385070494
2.7272054677161587e-06	6133.004339447981	0.015262625717030562
2.7683507256489453e-06	6133.00433944681	0.015492892443068498
2.810116740715874e-06	6133.004339445605	0.015726633193319656
2.8525128782591236e-06	6133.004339444364	0.015963900384746883
2.895548644915478e-06	6133.004339443084	0.016204747217506244
2.9392336907480285e-06	6133.004339441764	0.016449227699245374
2.9835778114100624e-06	6133.0043394404065	0.01669739664798803
3.028590950341545e-06	6133.004339439007	0.01694930971409992
3.074283200998794e-06	6133.004339437564	0.017205023384602253
3.120664809117766e-06	6133.004339436078	0.017464594998712397
3.1677461750114943e-06	6133.004339434547	0.017728082761420294
3.2155378559021885e-06	6133.00433943297	0.017995545754478086
3.264050568288517e-06	6133.004339431342	0.01826704395270374
3.3132951903486055e-06	6133.004339429666	0.018542638236794542
3.3632827643792855e-06	6133.00433942794	0.018822390400448162
3.414024499272171e-06	6133.004339426162	0.01910636317721092
3.465531773027031e-06	6133.0043394243285	0.01939462024087604
3.5178161353031427e-06	6133.0043394224385	0.019687226228667483
