Frequency_Hz	Z_re_mOhm*cm2	Z_neg_imag_mOhm*cm2
1.00019535065	79.47730209900396	6548.466174179048
1.12943855574	79.4771517600523	5799.154997971779
1.27538230443	79.47696006122865	5135.593542285493
1.44018460694	79.47671562368282	4547.969996499337
1.62628232715	79.47640393856996	4027.5954126559536
1.83642721555	79.47600650627041	3566.775225372182
2.07372659821	79.47549973900885	3158.695475541287
2.34168932355	79.47485356197122	2797.3220550146834
2.64427764623	79.47402963017323	2477.3114826574542
2.98596581537	79.47297905580855	2193.931892367356
3.37180623346	79.4716395120206	1942.9930647092567
3.80750416413	79.46993154261789	1720.7844676301722
4.29950209358	79.46775386101135	1524.0203899513483
4.85507499292	79.4649773630956	1349.7913563996838
5.48243789021	79.46143750485868	1195.5211056027338
6.19086734269	79.45692460226914	1058.9284948659808
6.99083860544	79.45117149393158	937.9937682532524
7.89418052464	79.44383786063383	830.9286889966577
8.91425044588	79.4344903139345	736.1500942712698
10.0019535065	79.4232787410183	656.4212772198263
11.2905841091	79.40833703217686	581.8876637827781
12.7452391616	79.38931300247857	515.9101857613384
14.3873089041	79.36509680191874	457.51851794966075
16.2409394504	79.33428026755413	405.85381803413037
18.3333878481	79.2950788611767	360.15607001962707
20.6954228859	79.24523449566614	319.75286910831994
23.3617775381	79.18189539566028	284.0494784139664
26.3716597021	79.10146889734335	252.52000456319396
29.7693287383	78.99944324424162	224.6995533450321
33.6047462898	78.87017532374688	200.17723778412196
37.9343109524	78.7066434466572	178.58991961565317
42.821687598	78.50016849118248	159.61657137038378
48.3387435466	78.24011411842173	142.97315066306504
54.5666053518	77.9135887319541	128.4078819863388
61.5968517417	77.50518995911193	115.69684652118957
69.5328602545	76.99685788666103	104.63979102941637
78.4913273725	76.36793586451131	95.05608868167283
88.6039845067	75.5955737878914	86.7808258911605
100.019535065	74.65563850119928	79.66105887038559
112.905841091	73.52430007826933	73.5523875703318
127.452391616	72.18041158846911	68.31612735957349
143.873089041	70.60865926770921	63.817491348928456
162.409394504	68.80320912062982	59.92526624580478
183.333878481	66.77124009869765	56.51338042241943
206.954228859	64.53543752319882	53.464440718073206
233.617775381	62.13440683937979	50.674751558046886
263.716597021	59.62024607138214	48.05967902789079
297.693287383	57.053236311202376	45.557788826471274
336.047462898	54.49456451813139	43.13228394522079
379.343109524	51.9987552111102	40.76898651981418
428.216875981	49.607655852436295	38.47118700269212
483.387435466	47.34729680806991	36.25263481688853
545.666053518	45.22800435766593	34.13036471572177
615.968517417	43.24722571826362	32.118857810771395
695.328602545	41.393954320204536	30.22643853414587
784.913273725	39.653501132372355	28.454113902045762
886.039845067	38.01154437174715	26.796484771514137
1000.19535065	36.45676541085586	25.24398588193524
1129.05841091	34.98183647146421	23.78556003702828
1274.52391616	33.582977298194294	22.410947077718333
1438.73089041	32.25863781213718	21.112052150223
1624.09394504	31.007986861265916	19.883264350105215
1833.33878481	29.829758620975245	18.72097250236075
2069.54228859	28.721709446846422	17.622722352170722
2336.17775381	27.680629140235773	16.58642921358739
2637.16597021	26.70267066698822	15.60987562952979
2976.93287383	25.783750420636036	14.690519438995596
3360.47462899	24.919866379895552	13.825516275284333
3793.43109524	24.107289308356336	13.011841061397298
4282.16875981	23.342643861289037	12.246429846411987
4833.87435466	22.622911411167173	11.526302691558264
5456.66053518	21.945383290562035	10.848649087865368
6159.68517417	21.307591523597143	10.210868024367716
6953.28602545	20.70724282939915	9.61056665853933
7849.13273725	20.14217354219696	9.045533263800857
8860.39845067	19.61032920328349	8.513704112719779
10001.9535065	19.109761013174165	8.013138137505205
11290.5841091	18.63862784912709	7.542003145975283
12745.2391616	18.195196176716355	7.098569993973257
14387.3089041	17.777835933646184	6.681209308776394
16240.9394504	17.385014099155555	6.28838750407704
18333.3878481	17.015288126715102	5.918661603817646
20695.4228859	16.66730020596667	5.570673703148251
23361.7775381	16.339772260834113	5.243145755834518
26371.6597021	16.031501335629766	4.934874828344947
29769.3287383	15.741355208940027	4.644728701462438
33604.7462898	15.468268232872887	4.371641725524844
37934.3109524	15.211237414504636	4.114610907175251
42821.6875981	14.969318731535532	3.8726922242006094
48338.7435466	14.741623665454517	3.6449971581189846
54566.6053518	14.527315938236004	3.430689430900666
61596.8517417	14.325608440853518	3.228981933518179
69532.8602545	14.135760342381827	3.0391338350464827
78491.3273725	13.957074369073469	2.860447861738125
88603.9845067	13.788894243414669	2.6922677360793315
100019.535065	13.630602273753903	2.533975766418562
112905.841091	13.481617085615444	2.3849905782801017
127452.391616	13.34139148650056	2.2447649791652196
143873.089042	13.209410456074872	2.1127839487395326
162409.394504	13.08518925465528	1.9885627473199396
183333.878482	12.968271642835482	1.8716451355001371
206954.228859	12.858228205835431	1.7616016985000906
233617.775381	12.754654776309446	1.6580282689741073
263716.59702	12.65717094996806	1.5605444426327202
297693.287383	12.56541868838215	1.4687921810468092
336047.462897	12.479061004023377	1.3824344966880364
379343.109523	12.397780722540231	1.3011542152048905
428216.875979	12.321279317868049	1.2246528105327081
483387.435466	12.249275815785067	1.1526493084497251
545666.053514	12.181505761970605	1.084879254635266
615968.517423	12.117720250675552	1.0210937433402112
695328.602547	12.057685010616895	0.9610585032815514
784913.273731	12.001179544456974	0.904553037121632
886039.845078	11.947996319029631	0.851369811694292
1000195.35065	11.897940003090683	0.8013134957553473
1129058.4109	11.850826749879404	0.7542002425440628
1274523.91616	11.806483521929591	0.709857014594252
1438730.8904	11.76474745552612	0.6681209481907795
1624093.94507	11.725465262498824	0.6288387551634799
1833338.78478	11.68849266731729	0.591866159981948
2069542.28854	11.65369387707022	0.5570673697348806
2336177.7538	11.62094108282691	0.5243145754915665
2637165.97016	11.590113990202822	0.4934874828674774
2976932.87399	11.56109937747829	0.4644728701429499
3360474.62897	11.533790679887613	0.4371641725522698
3793431.09503	11.508087598063822	0.41146109072848086
4282168.75997	11.483895729748204	0.3872692224128634
4833874.35462	11.46112622314876	0.36449971581341833
5456660.53514	11.439695450426663	0.3430689430913242
6159685.17377	11.419524700697645	0.3228981933623016
6953286.02566	11.400539890835402	0.3039133835000577
7849132.73645	11.382671293523734	0.2860447861883901
8860398.45172	11.365853280927322	0.2692267735919801
10001953.5055	11.350024083989865	0.2533975766545245
